value;i94prtl
'ALC';'ALCAN,AK'
'ANC';'ANCHORAGE,AK'
'BAR';'BAKERAAF-BAKERISLAND,AK'
'DAC';'DALTONSCACHE,AK'
'PIZ';'DEWSTATIONPTLAYDEW,AK'
'DTH';'DUTCHHARBOR,AK'
'EGL';'EAGLE,AK'
'FRB';'FAIRBANKS,AK'
'HOM';'HOMER,AK'
'HYD';'HYDER,AK'
'JUN';'JUNEAU,AK'
'5KE';'KETCHIKAN,AK'
'KET';'KETCHIKAN,AK'
'MOS';'MOSESPOINTINTERMEDIATE,AK'
'NIK';'NIKISKI,AK'
'NOM';'NOM,AK'
'PKC';'POKERCREEK,AK'
'ORI';'PORTLIONSSPB,AK'
'SKA';'SKAGWAY,AK'
'SNP';'ST.PAULISLAND,AK'
'TKI';'TOKEEN,AK'
'WRA';'WRANGELL,AK'
'HSV';'MADISONCOUNTY-HUNTSVILLE,AL'
'MOB';'MOBILE,AL'
'LIA';'LITTLEROCK,AR(BPS)'
'ROG';'ROGERSARPT,AR'
'DOU';'DOUGLAS,AZ'
'LUK';'LUKEVILLE,AZ'
'MAP';'MARIPOSAAZ'
'NAC';'NACO,AZ'
'NOG';'NOGALES,AZ'
'PHO';'PHOENIX,AZ'
'POR';'PORTAL,AZ'
'SLU';'SANLUIS,AZ'
'SAS';'SASABE,AZ'
'TUC';'TUCSON,AZ'
'YUI';'YUMA,AZ'
'AND';'ANDRADE,CA'
'BUR';'BURBANK,CA'
'CAL';'CALEXICO,CA'
'CAO';'CAMPO,CA'
'FRE';'FRESNO,CA'
'ICP';'IMPERIALCOUNTY,CA'
'LNB';'LONGBEACH,CA'
'LOS';'LOSANGELES,CA'
'BFL';'MEADOWSFIELD-BAKERSFIELD,CA'
'OAK';'OAKLAND,CA'
'ONT';'ONTARIO,CA'
'OTM';'OTAYMESA,CA'
'BLT';'PACIFIC,HWY.STATION,CA'
'PSP';'PALMSPRINGS,CA'
'SAC';'SACRAMENTO,CA'
'SLS';'SALINAS,CA(BPS)'
'SDP';'SANDIEGO,CA'
'SFR';'SANFRANCISCO,CA'
'SNJ';'SANJOSE,CA'
'SLO';'SANLUISOBISPO,CA'
'SLI';'SANLUISOBISPO,CA(BPS)'
'SPC';'SANPEDRO,CA'
'SYS';'SANYSIDRO,CA'
'SAA';'SANTAANA,CA'
'STO';'STOCKTON,CA(BPS)'
'TEC';'TECATE,CA'
'TRV';'TRAVIS-AFB,CA'
'APA';'ARAPAHOECOUNTY,CO'
'ASE';'ASPEN,CO#ARPT'
'COS';'COLORADOSPRINGS,CO'
'DEN';'DENVER,CO'
'DRO';'LAPLATA-DURANGO,CO'
'BDL';'BRADLEYINTERNATIONAL,CT'
'BGC';'BRIDGEPORT,CT'
'GRT';'GROTON,CT'
'HAR';'HARTFORD,CT'
'NWH';'NEWHAVEN,CT'
'NWL';'NEWLONDON,CT'
'TST';'NEWINGTONDATACENTERTEST,CT'
'WAS';'WASHINGTONDC'
'DOV';'DOVERAFB,DE'
'DVD';'DOVER-AFB,DE'
'WLL';'WILMINGTON,DE'
'BOC';'BOCAGRANDE,FL'
'SRQ';'BRADENTON-SARASOTA,FL'
'CAN';'CAPECANAVERAL,FL'
'DAB';'DAYTONABEACHINTERNATIONAL,FL'
'FRN';'FERNANDINA,FL'
'FTL';'FORTLAUDERDALE,FL'
'FMY';'FORTMYERS,FL'
'FPF';'FORTPIERCE,FL'
'HUR';'HURLBURTFIELD,FL'
'GNV';'JRALISONMUNI-GAINESVILLE,FL'
'JAC';'JACKSONVILLE,FL'
'KEY';'KEYWEST,FL'
'LEE';'LEESBURGMUNICIPALAIRPORT,FL'
'MLB';'MELBOURNE,FL'
'MIA';'MIAMI,FL'
'APF';'NAPLES,FL#ARPT'
'OPF';'OPALOCKA,FL'
'ORL';'ORLANDO,FL'
'PAN';'PANAMACITY,FL'
'PEN';'PENSACOLA,FL'
'PCF';'PORTCANAVERAL,FL'
'PEV';'PORTEVERGLADES,FL'
'PSJ';'PORTSTJOE,FL'
'SFB';'SANFORD,FL'
'SGJ';'STAUGUSTINEARPT,FL'
'SAU';'STAUGUSTINE,FL'
'FPR';'STLUCIECOUNTY,FL'
'SPE';'STPETERSBURG,FL'
'TAM';'TAMPA,FL'
'WPB';'WESTPALMBEACH,FL'
'ATL';'ATLANTA,GA'
'BRU';'BRUNSWICK,GA'
'AGS';'BUSHFIELD-AUGUSTA,GA'
'SAV';'SAVANNAH,GA'
'AGA';'AGANA,GU'
'HHW';'HONOLULU,HI'
'OGG';'KAHULUI-MAUI,HI'
'KOA';'KEAHOLE-KONA,HI'
'LIH';'LIHUE,HI'
'CID';'CEDARRAPIDS/IOWACITY,IA'
'DSM';'DESMOINES,IA'
'BOI';'AIRTERM.(GOWENFLD)BOISE,ID'
'EPI';'EASTPORT,ID'
'IDA';'FANNINGFIELD-IDAHOFALLS,ID'
'PTL';'PORTHILL,ID'
'SPI';'CAPITAL-SPRINGFIELD,IL'
'CHI';'CHICAGO,IL'
'DPA';'DUPAGECOUNTY,IL'
'PIA';'GREATERPEORIA,IL'
'RFD';'GREATERROCKFORD,IL'
'UGN';'MEMORIAL-WAUKEGAN,IL'
'GAR';'GARY,IN'
'HMM';'HAMMOND,IN'
'INP';'INDIANAPOLIS,IN'
'MRL';'MERRILLVILLE,IN'
'SBN';'SOUTHBEND,IN'
'ICT';'MID-CONTINENT-WITCHITA,KS'
'LEX';'BLUEGRASS-LEXINGTON,KY'
'LOU';'LOUISVILLE,KY'
'BTN';'BATONROUGE,LA'
'LKC';'LAKECHARLES,LA'
'LAK';'LAKECHARLES,LA(BPS)'
'MLU';'MONROE,LA'
'MGC';'MORGANCITY,LA'
'NOL';'NEWORLEANS,LA'
'BOS';'BOSTON,MA'
'GLO';'GLOUCESTER,MA'
'BED';'HANSCOMFIELD-BEDFORD,MA'
'LYN';'LYNDEN,WA'
'ADW';'ANDREWSAFB,MD'
'BAL';'BALTIMORE,MD'
'MKG';'MUSKEGON,MD'
'PAX';'PATUXENTRIVER,MD'
'BGM';'BANGOR,ME'
'BOO';'BOOTHBAYHARBOR,ME'
'BWM';'BRIDGEWATER,ME'
'BCK';'BUCKPORT,ME'
'CLS';'CALAIS,ME'
'CRB';'CARIBOU,ME'
'COB';'COBURNGORE,ME'
'EST';'EASTCOURT,ME'
'EPT';'EASTPORTMUNICIPAL,ME'
'EPM';'EASTPORT,ME'
'FOR';'FORESTCITY,ME'
'FTF';'FORTFAIRFIELD,ME'
'FTK';'FORTKENT,ME'
'HML';'HAMIIN,ME'
'HTM';'HOULTON,ME'
'JKM';'JACKMAN,ME'
'KAL';'KALISPEL,MT'
'LIM';'LIMESTONE,ME'
'LUB';'LUBEC,ME'
'MAD';'MADAWASKA,ME'
'POM';'PORTLAND,ME'
'RGM';'RANGELEY,ME(BPS)'
'SBR';'SOUTHBREWER,ME'
'SRL';'STAURELIE,ME'
'SPA';'STPAMPILE,ME'
'VNB';'VANBUREN,ME'
'VCB';'VANCEBORO,ME'
'AGN';'ALGONAC,MI'
'ALP';'ALPENA,MI'
'BCY';'BAYCITY,MI'
'DET';'DETROIT,MI'
'GRP';'GRANDRAPIDS,MI'
'GRO';'GROSSEISLE,MI'
'ISL';'ISLEROYALE,MI'
'MRC';'MARINECITY,MI'
'MRY';'MARYSVILLE,MI'
'PTK';'OAKLANDCOUNTY-PONTIAC,MI'
'PHU';'PORTHURON,MI'
'RBT';'ROBERTSLANDING,MI'
'SAG';'SAGINAW,MI'
'SSM';'SAULTSTE.MARIE,MI'
'SCL';'STCLAIR,MI'
'YIP';'WILLOWRUN-YPSILANTI,MI'
'BAU';'BAUDETTE,MN'
'CAR';'CARIBOUMUNICIPALAIRPORT,MN'
'GTF';'CollapsedintoINT,MN'
'INL';'CollapsedintoINT,MN'
'CRA';'CRANELAKE,MN'
'MIC';'CRYSTALMUNICIPALAIRPORT,MN'
'DUL';'DULUTH,MN'
'ELY';'ELY,MN'
'GPM';'GRANDPORTAGE,MN'
'SVC';'GRANTCOUNTY-SILVERCITY,MN'
'INT';'INT''LFALLS,MN'
'LAN';'LANCASTER,MN'
'MSP';'MINN./STPAUL,MN'
'LIN';'NORTHERNSVCCENTER,MN'
'NOY';'NOYES,MN'
'PIN';'PINECREEK,MN'
'48Y';'PINECREEKBORDERARPT,MN'
'RAN';'RAINER,MN'
'RST';'ROCHESTER,MN'
'ROS';'ROSEAU,MN'
'SPM';'STPAUL,MN'
'WSB';'WARROADINTL,SPB,MN'
'WAR';'WARROAD,MN'
'KAN';'KANSASCITY,MO'
'SGF';'SPRINGFIELD-BRANSON,MO'
'STL';'STLOUIS,MO'
'WHI';'WHITETAIL,MT'
'WHM';'WILDHORSE,MT'
'GPT';'BILOXIREGIONAL,MS'
'GTR';'GOLDENTRIANGLELOWNDESCNTY,MS'
'GUL';'GULFPORT,MS'
'PAS';'PASCAGOULA,MS'
'JAN';'THOMPSONFIELD-JACKSON,MS'
'BIL';'BILLINGS,MT'
'BTM';'BUTTE,MT'
'CHF';'CHIEFMT,MT'
'CTB';'CUTBANKMUNICIPAL,MT'
'CUT';'CUTBANK,MT'
'DLB';'DELBONITA,MT'
'EUR';'EUREKA,MT(BPS)'
'BZN';'GALLATINFIELD-BOZEMAN,MT'
'FCA';'GLACIERNATIONALPARK,MT'
'GGW';'GLASGOW,MT'
'GRE';'GREATFALLS,MT'
'HVR';'HAVRE,MT'
'HEL';'HELENA,MT'
'LWT';'LEWISTON,MT'
'MGM';'MORGAN,MT'
'OPH';'OPHEIM,MT'
'PIE';'PIEGAN,MT'
'RAY';'RAYMOND,MT'
'ROO';'ROOSVILLE,MT'
'SCO';'SCOBEY,MT'
'SWE';'SWEETGTASS,MT'
'TRL';'TRIALCREEK,MT'
'TUR';'TURNER,MT'
'WCM';'WILLOWCREEK,MT'
'CLT';'CHARLOTTE,NC'
'FAY';'FAYETTEVILLE,NC'
'MRH';'MOREHEADCITY,NC'
'FOP';'MORRISFIELDSAAF,NC'
'GSO';'PIEDMONTTRIADINTLAIRPORT,NC'
'RDU';'RALEIGH/DURHAM,NC'
'SSC';'SHAWAFB-SUMTER,NC'
'WIL';'WILMINGTON,NC'
'AMB';'AMBROSE,ND'
'ANT';'ANTLER,ND'
'CRY';'CARBURY,ND'
'DNS';'DUNSEITH,ND'
'FAR';'FARGO,ND'
'FRT';'FORTUNA,ND'
'GRF';'GRANDFORKS,ND'
'HNN';'HANNAH,ND'
'HNS';'HANSBORO,ND'
'MAI';'MAIDA,ND'
'MND';'MINOT,ND'
'NEC';'NECHE,ND'
'NOO';'NOONAN,ND'
'NRG';'NORTHGATE,ND'
'PEM';'PEMBINA,ND'
'SAR';'SARLES,ND'
'SHR';'SHERWOOD,ND'
'SJO';'STJOHN,ND'
'WAL';'WALHALLA,ND'
'WHO';'WESTHOPE,ND'
'WND';'WILLISTON,ND'
'OMA';'OMAHA,NE'
'LEB';'LEBANON,NH'
'MHT';'MANCHESTER,NH'
'PNH';'PITTSBURG,NH'
'PSM';'PORTSMOUTH,NH'
'BYO';'BAYONNE,NJ'
'CNJ';'CAMDEN,NJ'
'HOB';'HOBOKEN,NJ'
'JER';'JERSEYCITY,NJ'
'WRI';'MCGUIREAFB-WRIGHTSOWN,NJ'
'MMU';'MORRISTOWN,NJ'
'NEW';'NEWARK/TETERBORO,NJ'
'PER';'PERTHAMBOY,NJ'
'ACY';'POMONAFIELD-ATLANTICCITY,NJ'
'ALA';'ALAMAGORDO,NM(BPS)'
'ABQ';'ALBUQUERQUE,NM'
'ANP';'ANTELOPEWELLS,NM'
'CRL';'CARLSBAD,NM'
'COL';'COLUMBUS,NM'
'CDD';'CRANELAKE-ST.LOUISCNTY,NM'
'DNM';'DEMING,NM(BPS)'
'LAS';'LASCRUCES,NM'
'LOB';'LORDSBURG,NM(BPS)'
'RUI';'RUIDOSO,NM'
'STR';'SANTATERESA,NM'
'RNO';'CANNONINTL-RENO/TAHOE,NV'
'FLX';'FALLONMUNICIPALAIRPORT,NV'
'LVG';'LASVEGAS,NV'
'REN';'RENO,NV'
'ALB';'ALBANY,NY'
'AXB';'ALEXANDRIABAY,NY'
'BUF';'BUFFALO,NY'
'CNH';'CANNONCORNERS,NY'
'CAP';'CAPEVINCENT,NY'
'CHM';'CHAMPLAIN,NY'
'CHT';'CHATEAUGAY,NY'
'CLA';'CLAYTON,NY'
'FTC';'FORTCOVINGTON,NY'
'LAG';'LAGUARDIA,NY'
'LEW';'LEWISTON,NY'
'MAS';'MASSENA,NY'
'MAG';'MCGUIREAFB,NY'
'MOO';'MOORES,NY'
'MRR';'MORRISTOWN,NY'
'NYC';'NEWYORK,NY'
'NIA';'NIAGARAFALLS,NY'
'OGD';'OGDENSBURG,NY'
'OSW';'OSWEGO,NY'
'ELM';'REGIONALARPT-HORSEHEAD,NY'
'ROC';'ROCHESTER,NY'
'ROU';'ROUSESPOINT,NY'
'SWF';'STEWART-ORANGECNTY,NY'
'SYR';'SYRACUSE,NY'
'THO';'THOUSANDISLANDBRIDGE,NY'
'TRO';'TROUTRIVER,NY'
'WAT';'WATERTOWN,NY'
'HPN';'WESTCHESTER-WHITEPLAINS,NY'
'WRB';'WHIRLPOOLBRIDGE,NY'
'YOU';'YOUNGSTOWN,NY'
'AKR';'AKRON,OH'
'ATB';'ASHTABULA,OH'
'CIN';'CINCINNATI,OH'
'CLE';'CLEVELAND,OH'
'CLM';'COLUMBUS,OH'
'LOR';'LORAIN,OH'
'MBO';'MARBLEHEADS,OH'
'SDY';'SANDUSKY,OH'
'TOL';'TOLEDO,OH'
'OKC';'OKLAHOMACITY,OK'
'TUL';'TULSA,OK'
'AST';'ASTORIA,OR'
'COO';'COOSBAY,OR'
'HIO';'HILLSBORO,OR'
'MED';'MEDFORD,OR'
'NPT';'NEWPORT,OR'
'POO';'PORTLAND,OR'
'PUT';'PUT-IN-BAY,OH'
'RDM';'ROBERTSFIELDS-REDMOND,OR'
'ERI';'ERIE,PA'
'MDT';'HARRISBURG,PA'
'HSB';'HARRISONBURG,PA'
'PHI';'PHILADELPHIA,PA'
'PIT';'PITTSBURG,PA'
'AGU';'AGUADILLA,PR'
'BQN';'BORINQUEN-AGUADILLO,PR'
'JCP';'CULEBRA-BENJAMINRIVERA,PR'
'ENS';'ENSENADA,PR'
'FAJ';'FAJARDO,PR'
'HUM';'HUMACAO,PR'
'JOB';'JOBOS,PR'
'MAY';'MAYAGUEZ,PR'
'PON';'PONCE,PR'
'PSE';'PONCE-MERCEDITA,PR'
'SAJ';'SANJUAN,PR'
'VQS';'VIEQUES-ARPT,PR'
'PRO';'PROVIDENCE,RI'
'PVD';'THEODOREFRANCIS-WARWICK,RI'
'CHL';'CHARLESTON,SC'
'CAE';'COLUMBIA,SC#ARPT'
'GEO';'GEORGETOWN,SC'
'GSP';'GREENVILLE,SC'
'GRR';'GREER,SC'
'MYR';'MYRTLEBEACH,SC'
'SPF';'BLACKHILLS,SPEARFISH,SD'
'HON';'HOWESREGIONALARPT-HURON,SD'
'SAI';'SAIPAN,SPN'
'TYS';'MCGHEETYSON-ALCOA,TN'
'MEM';'MEMPHIS,TN'
'NSV';'NASHVILLE,TN'
'TRI';'TRICITYARPT,TN'
'ADS';'ADDISONAIRPORT-ADDISON,TX'
'ADT';'AMISTADDAM,TX'
'ANZ';'ANZALDUAS,TX'
'AUS';'AUSTIN,TX'
'BEA';'BEAUMONT,TX'
'BBP';'BIGBENDPARK,TX(BPS)'
'SCC';'BPSPECCOORD.CTR,TX'
'BTC';'BPTACTICALUNIT,TX'
'BOA';'BRIDGEOFAMERICAS,TX'
'BRO';'BROWNSVILLE,TX'
'CRP';'CORPUSCHRISTI,TX'
'DAL';'DALLAS,TX'
'DLR';'DELRIO,TX'
'DNA';'DONNA,TX'
'EGP';'EAGLEPASS,TX'
'ELP';'ELPASO,TX'
'FAB';'FABENS,TX'
'FAL';'FALCONHEIGHTS,TX'
'FTH';'FORTHANCOCK,TX'
'AFW';'FORTWORTHALLIANCE,TX'
'FPT';'FREEPORT,TX'
'GAL';'GALVESTON,TX'
'HLG';'HARLINGEN,TX'
'HID';'HIDALGO,TX'
'HOU';'HOUSTON,TX'
'SGR';'HULLFIELD,SUGARLANDARPT,TX'
'LLB';'JUAREZ-LINCOLNBRIDGE,TX'
'LCB';'LAREDOCOLUMBIABRIDGE,TX'
'LRN';'LAREDONORTH,TX'
'LAR';'LAREDO,TX'
'LSE';'LOSEBANOS,TX'
'IND';'LOSINDIOS,TX'
'LOI';'LOSINDIOS,TX'
'MRS';'MARFA,TX(BPS)'
'MCA';'MCALLEN,TX'
'MAF';'ODESSAREGIONAL,TX'
'PDN';'PASODELNORTE,TX'
'PBB';'PEACEBRIDGE,NY'
'PHR';'PHARR,TX'
'PAR';'PORTARTHUR,TX'
'ISB';'PORTISABEL,TX'
'POE';'PORTOFELPASO,TX'
'PRE';'PRESIDIO,TX'
'PGR';'PROGRESO,TX'
'RIO';'RIOGRANDECITY,TX'
'ROM';'ROMA,TX'
'SNA';'SANANTONIO,TX'
'SNN';'SANDERSON,TX'
'VIB';'VETERANINTLBRIDGE,TX'
'YSL';'YSLETA,TX'
'CHA';'CHARLOTTEAMALIE,VI'
'CHR';'CHRISTIANSTED,VI'
'CRU';'CRUZBAY,STJOHN,VI'
'FRK';'FREDERIKSTED,VI'
'STT';'STTHOMAS,VI'
'LGU';'CACHEAIRPORT-LOGAN,UT'
'SLC';'SALTLAKECITY,UT'
'CHO';'ALBEMARLECHARLOTTESVILLE,VA'
'DAA';'DAVISONAAF-FAIRFAXCNTY,VA'
'HOP';'HOPEWELL,VA'
'HEF';'MANASSAS,VA#ARPT'
'NWN';'NEWPORT,VA'
'NOR';'NORFOLK,VA'
'RCM';'RICHMOND,VA'
'ABS';'ALBURGSPRINGS,VT'
'ABG';'ALBURG,VT'
'BEB';'BEEBEPLAIN,VT'
'BEE';'BEECHERFALLS,VT'
'BRG';'BURLINGTON,VT'
'CNA';'CANAAN,VT'
'DER';'DERBYLINE,VT(I-91)'
'DLV';'DERBYLINE,VT(RT.5)'
'ERC';'EASTRICHFORD,VT'
'HIG';'HIGHGATESPRINGS,VT'
'MOR';'MORSESLINE,VT'
'NPV';'NEWPORT,VT'
'NRT';'NORTHTROY,VT'
'NRN';'NORTON,VT'
'PIV';'PINNACLEROAD,VT'
'RIF';'RICHFORT,VT'
'STA';'STALBANS,VT'
'SWB';'SWANTON,VT(BP-SECTORHQ)'
'WBE';'WESTBERKSHIRE,VT'
'ABE';'ABERDEEN,WA'
'ANA';'ANACORTES,WA'
'BEL';'BELLINGHAM,WA'
'BLI';'BELLINGHAM,WASHINGTON#INTL'
'BLA';'BLAINE,WA'
'BWA';'BOUNDARY,WA'
'CUR';'CURLEW,WA(BPS)'
'DVL';'DANVILLE,WA'
'EVE';'EVERETT,WA'
'FER';'FERRY,WA'
'FRI';'FRIDAYHARBOR,WA'
'FWA';'FRONTIER,WA'
'KLM';'KALAMA,WA'
'LAU';'LAURIER,WA'
'LON';'LONGVIEW,WA'
'MET';'METALINEFALLS,WA'
'MWH';'MOSESLAKEGRANTCOUNTYARPT,WA'
'NEA';'NEAHBAY,WA'
'NIG';'NIGHTHAWK,WA'
'OLY';'OLYMPIA,WA'
'ORO';'OROVILLE,WA'
'PWB';'PASCO,WA'
'PIR';'POINTROBERTS,WA'
'PNG';'PORTANGELES,WA'
'PTO';'PORTTOWNSEND,WA'
'SEA';'SEATTLE,WA'
'SPO';'SPOKANE,WA'
'SUM';'SUMAS,WA'
'TAC';'TACOMA,WA'
'PSC';'TRI-CITIES-PASCO,WA'
'VAN';'VANCOUVER,WA'
'AGM';'ALGOMA,WI'
'BAY';'BAYFIELD,WI'
'GRB';'GREENBAY,WI'
'MNW';'MANITOWOC,WI'
'MIL';'MILWAUKEE,WI'
'MSN';'TRUAXFIELD-DANECOUNTY,WI'
'CHS';'CHARLESTON,WV'
'CLK';'CLARKSBURG,WV'
'BLF';'MERCERCOUNTY,WV'
'CSP';'CASPER,WY'
'XXX';'NOTREPORTED/UNKNOWN'
'888';'UNIDENTIFEDAIR/SEAPORT'
'UNK';'UNKNOWNPOE'
'CLG';'CALGARY,CANADA'
'EDA';'EDMONTON,CANADA'
'YHC';'HAKAIPASS,CANADA'
'HAL';'Halifax,NS,Canada'
'MON';'MONTREAL,CANADA'
'OTT';'OTTAWA,CANADA'
'YXE';'SASKATOON,CANADA'
'TOR';'TORONTO,CANADA'
'VCV';'VANCOUVER,CANADA'
'VIC';'VICTORIA,CANADA'
'WIN';'WINNIPEG,CANADA'
'AMS';'AMSTERDAM-SCHIPHOL,NETHERLANDS'
'ARB';'ARUBA,NETHANTILLES'
'BAN';'BANKOK,THAILAND'
'BEI';'BEICA#ARPT,ETHIOPIA'
'PEK';'BEIJINGCAPITALINTL,PRC'
'BDA';'KINDLEYFIELD,BERMUDA'
'BOG';'BOGOTA,ELDORADO#ARPT,COLOMBIA'
'EZE';'BUENOSAIRES,MINISTROPIST,ARGENTINA'
'CUN';'CANCUN,MEXICO'
'CRQ';'CARAVELAS,BA#ARPT,BRAZIL'
'MVD';'CARRASCO,URUGUAY'
'DUB';'DUBLIN,IRELAND'
'FOU';'FOUGAMOU#ARPT,GABON'
'FBA';'FREEPORT,BAHAMAS'
'MTY';'GENM.ESCOBEDO,Monterrey,MX'
'HMO';'GENPESQUEIRAGARCIA,MX'
'GCM';'GRANDCAYMAN,CAYMANISLAND'
'GDL';'GUADALAJARA,MIGUELHIDAL,MX'
'HAM';'HAMILTON,BERMUDA'
'ICN';'INCHON,SEOULKOREA'
'IWA';'INVALID-IWAKUNI,JAPAN'
'CND';'KOGALNICEANU,ROMANIA'
'LAH';'LABUHAARPT,INDONESIA'
'DUR';'LOUISBOTHA,SOUTHAFRICA'
'MAL';'MANGOLEARPT,INDONESIA'
'MDE';'MEDELLIN,COLOMBIA'
'MEX';'JUAREZINTL,MEXICOCITY,MX'
'LHR';'MIDDLESEX,ENGLAND'
'NBO';'NAIROBI,KENYA'
'NAS';'NASSAU,BAHAMAS'
'NCA';'NORTHCAICOS,TURK&CAIMAN'
'PTY';'OMARTORRIJOS,PANAMA'
'SPV';'PAPUA,NEWGUINEA'
'UIO';'QUITO(MARISCALSUCR),ECUADOR'
'RIT';'ROME,ITALY'
'SNO';'SAKONNAKHON#ARPT,THAILAND'
'SLP';'SANLUISPOTOSI#ARPT,MEXICO'
'SAN';'SANSALVADOR,ELSALVADOR'
'SRO';'SANTANARAMOS#ARPT,COLOMBIA'
'GRU';'GUARULHOSINTL,SAOPAULO,BRAZIL'
'SHA';'SHANNON,IRELAND'
'HIL';'SHILLAVO,ETHIOPIA'
'TOK';'TOROKINA#ARPT,PAPUA,NEWGUINEA'
'VER';'VERACRUZ,MEXICO'
'LGW';'WESTSUSSEX,ENGLAND'
'ZZZ';'MEXICOLand(BancodeMexico)'
'CHN';'NoPORTCode(CHN)'
'CNC';'CANNONCORNERS,NY'
'MAA';'AbuDhabi'
'AG0';'MAGNOLIA,AR'
'BHM';'BARHARBOR,ME'
'BHX';'BIRMINGHAM,AL'
'CAK';'AKRON,OH'
'FOK';'SUFFOLKCOUNTY,NY'
'LND';'LANDER,WY'
'MAR';'MARFA,TX'
'MLI';'MOLINE,IL'
'RIV';'RIVERSIDE,CA'
'RME';'ROME,NY'
'VNY';'VANNUYS,CA'
'YUM';'YUMA,AZ'
'FRG';'Collapsed(FOK)06/15'
'HRL';'Collapsed(HLG)06/15'
'ISP';'Collapsed(FOK)06/15'
'JSJ';'Collapsed(SAJ)06/15'
'BUS';'Collapsed(BUF)06/15'
'IAG';'Collapsed(NIA)06/15'
'PHN';'Collapsed(PHU)06/15'
'STN';'Collapsed(STR)06/15'
'VMB';'Collapsed(VNB)06/15'
'T01';'Collapsed(SEA)06/15'
'PHF';'NoPORTCode(PHF)'
'DRV';'NoPORTCode(DRV)'
'FTB';'NoPORTCode(FTB)'
'GAC';'NoPORTCode(GAC)'
'GMT';'NoPORTCode(GMT)'
'JFA';'NoPORTCode(JFA)'
'JMZ';'NoPORTCode(JMZ)'
'NC8';'NoPORTCode(NC8)'
'NYL';'NoPORTCode(NYL)'
'OAI';'NoPORTCode(OAI)'
'PCW';'NoPORTCode(PCW)'
'WA5';'NoPORTCode(WAS)'
'WTR';'NoPORTCode(WTR)'
'X96';'NoPORTCode(X96)'
'XNA';'NoPORTCode(XNA)'
'YGF';'NoPORTCode(YGF)'
'5T6';'NoPORTCode(5T6)'
'060';'NoPORTCode(60)'
'SP0';'NoPORTCode(SP0)'
'W55';'NoPORTCode(W55)'
'X44';'NoPORTCode(X44)'
'AUH';'NoPORTCode(AUH)'
'RYY';'NoPORTCode(RYY)'
'SUS';'NoPORTCode(SUS)'
'74S';'NoPORTCode(74S)'
'ATW';'NoPORTCode(ATW)'
'CPX';'NoPORTCode(CPX)'
'MTH';'NoPORTCode(MTH)'
'PFN';'NoPORTCode(PFN)'
'SCH';'NoPORTCode(SCH)'
'ASI';'NoPORTCode(ASI)'
'BKF';'NoPORTCode(BKF)'
'DAY';'NoPORTCode(DAY)'
'Y62';'NoPORTCode(Y62)'
'AG';'NoPORTCode(AG)'
'BCM';'NoPORTCode(BCM)'
'DEC';'NoPORTCode(DEC)'
'PLB';'NoPORTCode(PLB)'
'CXO';'NoPORTCode(CXO)'
'JBQ';'NoPORTCode(JBQ)'
'JIG';'NoPORTCode(JIG)'
'OGS';'NoPORTCode(OGS)'
'TIW';'NoPORTCode(TIW)'
'OTS';'NoPORTCode(OTS)'
'AMT';'NoPORTCode(AMT)'
'EGE';'NoPORTCode(EGE)'
'GPI';'NoPORTCode(GPI)'
'NGL';'NoPORTCode(NGL)'
'OLM';'NoPORTCode(OLM)'
'.GA';'NoPORTCode(.GA)'
'CLX';'NoPORTCode(CLX)'
'CP';'NoPORTCode(CP)'
'FSC';'NoPORTCode(FSC)'
'NK';'NoPORTCode(NK)'
'ADU';'NoPORTCode(ADU)'
'AKT';'NoPORTCode(AKT)'
'LIT';'NoPORTCode(LIT)'
'A2A';'NoPORTCode(A2A)'
'OSN';'NoPORTCode(OSN)'